experimento,garcia-20-1024,garcia-20-2048,garcia-50-1024,garcia-50-2048,erkin-20-1024,erkin-20-2048,erkin-50-1024,erkin-50-2048
1,0.768676,4.200379,4.867719,26.342921,0.319385,0.700398,1.179181,3.528002
2,0.771685,4.193539,4.879434,26.546217,0.319731,0.696868,1.174998,3.511735
3,0.773339,4.191256,4.874787,26.358353,0.321291,0.692514,1.180697,3.512973
4,0.771364,4.235733,4.876638,26.344649,0.322739,0.697734,1.183451,3.527824
5,0.770223,4.211545,4.882791,26.346191,0.319706,0.692100,1.179406,3.529677
6,0.774871,4.180655,4.887568,26.231041,0.317898,0.700036,1.184928,3.518150
7,0.777392,4.186456,4.854248,26.354882,0.320737,0.692619,1.183542,3.514800
8,0.771561,4.213110,4.843136,26.344673,0.318997,0.691781,1.179073,3.525110
9,0.773972,4.205782,4.877317,26.356385,0.323543,0.697657,1.177970,3.522107
10,0.772290,4.204044,4.851382,26.298706,0.322990,0.694133,1.173972,3.511634
11,0.769933,4.208220,4.875241,26.319927,0.321713,0.690762,1.183092,3.522458
12,0.773396,4.197576,4.898667,26.332923,0.318193,0.693359,1.182497,3.533953
13,0.771291,4.215897,4.875909,26.314587,0.322238,0.696064,1.169758,3.509940
14,0.767189,4.200991,4.864377,26.316523,0.324901,0.700916,1.182402,3.526069
15,0.772180,4.206130,4.895476,26.314306,0.322134,0.704059,1.177909,3.524970
16,0.774502,4.185771,4.881683,26.320368,0.324202,0.696749,1.173952,3.522762
17,0.780011,4.178589,4.852260,26.326179,0.317513,0.693334,1.173653,3.502329
18,0.769754,4.200303,4.874166,26.203461,0.324208,0.699880,1.177547,3.513850
19,0.768818,4.198486,4.861410,26.330020,0.319791,0.699417,1.177999,3.542891
20,0.774707,4.254890,4.901971,26.417445,0.318318,0.694539,1.177389,3.524716
